dt	company	stockValue	sentiment	keywords	ref
3/9/2018	Microsoft	96.54	0.2	['s9', 'galaxy', 'samsungs', 's8', 'microsoft', 'customized', 'started', 'spokesperson', 'samsung', 'apps', 'selling']	https://www.theverge.com/2018/3/9/17099714/samsung-galaxy-s9-microsoft-edition-features
3/9/2018	Microsoft	95.2	-0.028571429	['update', 'pcs', 'users', 'report', 'windows', 'microsoft', 'block', 'updates', 'upgrade', 'forces', '1709', 'set', 'version', 'forced', 'feature']	https://www.techrepublic.com/article/microsoft-forces-windows-10-update-on-pcs-that-were-set-up-to-block-it/
3/9/2018	Microsoft	96.54	0.153246753	['lands', 'executive', 'washington', 'joined', 'tech', 'joins', 'microsoft', 'uber', 'vp', 'moves', 'amazon', 'voice', 'product', 'ignition', 'company', 'recently', 'partners']	https://www.geekwire.com/2018/tech-moves-21/
3/9/2018	Microsoft	96.54	0.188636364	['update', 'users', 'beta', 'page', 'wallpapers', 'microsoft', 'bug', 'features', 'app', 'launcher', 'fixes', 'version', 'screen', 'apps', 'includes']	https://www.digitaltrends.com/mobile/microsoft-launcher-rolls-out-beta-version-for-android/
3/14/2018	Microsoft	94.43	-0.291411565	['stocks', 'attack', 'deal', 'signs', 'thwarts', 'delayed', 'microsoft', 'monthly', 'energy', 'roundup', 'system', 'zacks', 'month', 'return', 'returns', 'data', 'cryptocoin', 'rank']	https://www.zacks.com/stock/news/295665/microsoft-roundup-thwarts-cryptocoin-attack-signs-energy-deal
3/14/2018	Microsoft	95.06	0.003541667	['update', 'r2', 'secures', 'servers', 'patch', 'loseday', 'windows', 'vmware', 'problem', 'disconnecting', 'microsoft', '2008', 'running', 'vnic', 'patches', 'world', 'server']	https://www.theregister.co.uk/2018/03/14/microsoft_secures_the_servers_of_the_world/
3/14/2018	Microsoft	95.06	0.017045455	['east', 'buildout', 'france', 'azure', 'datacenters', 'plans', 'microsoft', 'services', 'support', 'regions', 'cloud', 'review', '365', 'office', 'china', 'infrastructure', 'takes', 'middle', 'virtualization']	https://virtualizationreview.com/articles/2018/03/14/microsoft-cloud-infrastructure-buildout.aspx
3/14/2018	Microsoft	95.06	0.013888889	['day', 'pi', 'mathematics', 'prices', '314', 'technology', 'microsoft', 'costs', 'celebrate', 'laptop', 'cuts', 'store', 'instead', 'price']	http://fortune.com/2018/03/14/microsoft-store-pi-day-laptop/
2/22/18	Microsoft	92.2	0.017045455	['france', 'china', 'support', 'buildout', 'regions', 'infrastructure', 'middle', 'east', 'cloud', 'takes', 'datacenters', 'azure', 'review', '365', 'microsoft', 'virtualization', 'plans', 'services', 'office']	https://rcpmag.com/articles/2018/02/22/paid-windows-10-servicing-option.aspx
3/6/18	Microsoft	93.62	0.143209877	['finds', 'australia', 'near', 'paul', 'curranafpgetty', 'team', 'images', 'went', 'war', 'cofounder', 'world', 'lost', 'carrier', 'sea', 'g', 'microsoft', 'ii', 'allen', 'uss', 'lexington']	http://abcnews.go.com/US/microsoft-founder-finds-lost-world-war-ii-aircraft/story?id=53546780
3/5/18	Microsoft	92.43	0.027210884	['details', 'told', 'work', 'hiring', 'cybersecurity', 'spree', 'human', 'devine', 'graduates', 'dhs', 'security', 'services', 'microsoft', 'report']	http://www.zdnet.com/article/microsoft-details-human-services-cybersecurity-hiring-spree-in-new-report/
3/8/18	Microsoft	94.43	0.316287879	['rise', 'javascript', 'programming', 'c', 'according', 'swift', 'rules', 'languages', 'popular', 'microsoft', 'language', 'skills']	http://www.zdnet.com/article/windows-security-microsoft-fights-massive-cryptocoin-miner-malware-outbreak/
3/12/18	Microsoft	96.54	0.070833333	['1703', 'forced', 'machines', 'feature', 'version', 'set', 'block', 'kb', 'windows', 'upgrades', 'update', 'win10', 'microsoft', 'updates']	https://www.computerworld.com/article/3261969/microsoft-windows/microsoft-again-forced-upgrades-on-win10-machines-specifically-set-to-block-updates.html
3/13/18	Microsoft	97.07	0.373051948	['dictation', 'powerpoint', 'latest', 'apps', 'technology', 'testing', 'dictate', '2016', 'windows', 'speech', 'starts', 'microsoft', 'voice', 'office']	http://www.zdnet.com/article/microsoft-starts-testing-voice-dictation-in-latest-office-apps/
3/12/18	Microsoft	96.54	0.072306397	['challenge', 'customers', '200k', 'including', 'slack', 'launch', 'organizations', 'claims', 'company', 'companies', 'users', 'used', 'teams', 'microsoft', 'ratchets', 'microsofts', 'voice']	https://www.geekwire.com/2018/microsoft-teams-ratchets-slack-challenge-new-features-claims-200k-organizations-customers-one-year-launch/
3/12/18	Microsoft	96.54	0.533333333	['shareholders', 'redmond', 'record', 'intelligent', 'share', 'announces', 'dividend', 'quarterly', '2018', 'wash', 'transformation', 'microsoft']	https://www.prnewswire.com/news-releases/microsoft-announces-quarterly-dividend-300612764.html
3/13/18	Microsoft	97.07	0	['saw', 'harassment', 'past', 'sexual', 'court', 'women', 'internal', 'raises', 'pay', 'promotions', 'microsoft', '238', 'complaints', 'discrimination']	https://www.investopedia.com/news/microsoft-saw-238-internal-complaints-harassment-discrimination/
